OBJECTID_1,GNIS_ID,GNIS_Name,ReachCode,FType,FCode,SepticLoad,Developed,Agricultur,Forest,TotalLoad,wsAcres,LakeAcres,LkAreaLoad,PtSource,BasinName,BasNumber,Shape_Leng,NHDshort,Resolution,LakeID,FIN,County,Type,Water,Alt_Name,Beach,M_BAS_NAME,BASIN_NAME,LocationID,PWS,Class,PWL_ID,LocName,Lat,Long,AnthroLoad,YearSample,OBJECTID_12,PWL_ID_1,WIN,NAME,DESCRIPT,BASIN,WBTYPE,LGTH_AREA,WSUP_USEASMT,WSUP_DCMT,SHEL_USEASMT,SHEL_DCMT,BATH_USEASMT,BATH_DCMT,RECR_USEASMT,RECR_DCMT,CONS_USEASMT,CONS_DCMT,AQAT_USEASMT,AQAT_DCMT,HABH_USEASMT,AEST_USEASMT,WBCATGRY,MGMTSTAT,UPDATE_YR,FACT_SHEET
597,943715,Benz Pond,4.15031E+12,390,39009,0,0.826977,0,6.04913,6.876107,90.6585,25.16756707,0.27321302,0,St. Lawrence River Basin,9,0.019240061,6001254,2,0902BEN0221,SLC-P221,Franklin,Lake,Benz Pond, ,No,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902BEN0221_C,No,D,0903-0175,Benz Pond Centroid,44.5153008,-74.4545975,0.032858838, ,539,0903-0175,"SL- 1-P109..162- 6-P221,P222","Moose Pond, Shaw Pond",total area of both lakes,Saint Lawrence River,L,204.9,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,No Known Impact,,1/23/2009 0:00,https://www.dec.ny.gov/data/WQP/PWL/0903-0175.pdf
598,957424,Minnow Pond,4.15031E+12,390,39009,0,11.991161,0,79.550513,91.5417,911.682,110.4672801,0.828676816,0,St. Lawrence River Basin,9,0.04630249,5001526,2,0903MIN0311,SL-1-P293-4-P307-3-P311,Hamilton,Lake,Minnow Pond, ,No,St. Lawrence River Basin,Raquette River,0903MIN0311_C,No,C,0903-0206,Minnow Pond Centroid,43.8815002,-74.4365997,0.108549672, ,1498,0903-0206,SL- 1-P109..P293- 4-P307-P311,Minnow Pond,entire lake,Saint Lawrence River,L,108.5,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,No Known Impact,,1/23/2009 0:00,https://www.dec.ny.gov/data/WQP/PWL/0903-0206.pdf
599,972072,Park Lake,4.15031E+12,390,39009,89.679061,70.009478,5.298549,362.658711,527.646,3842.05,37.58927657,14.0371,0,St. Lawrence River Basin,9,0.029089967,5004725,2,0903PAR0241A,SL-1-P241-14-P241A,Hamilton,Lake,Park Lake, ,No,St. Lawrence River Basin,Raquette River,0903PAR0241A_C,No,B,0903-0078,Park Lake Centroid,43.9690018,-74.4213028,4.389211607, ,1090,0903-0078,SL- 1 (portion 11)/P241,Long Lake,entire lake,Saint Lawrence River,L,4094,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Impaired,Known,UnAssessed,-,UnAssessed,UnAssessed,Impaired,Verification of Sources Needed,12/8/2008 0:00,https://www.dec.ny.gov/data/WQP/PWL/0903-0078.pdf
600,955139,Lead Pond,4.15031E+12,390,39009,0,0.330791,0,37.028684,37.3595,467.236,95.20115095,0.392426716,0,St. Lawrence River Basin,9,0.036951748,5001309,2,0903LEA0093,SL-1-P89-1-2-P93,Franklin,Lake,Lead Pond, ,No,St. Lawrence River Basin,Raquette River,0903LEA0093_C,No,C,0903-0118,Lead Pond Centroid,44.2809982,-74.4125977,0.003474916, ,845,0903-0118,SL- 1-P 89- 1- 2-P93,"Lead Pond, more",entire lake,Saint Lawrence River,L,83.9,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,9/5/2008 0:00,https://www.dec.ny.gov/data/WQP/PWL/0903-0118.pdf
601,959579,Otter Pond,4.15031E+12,390,39004,0,0,0,4.559087,4.559087,56.9335,14.15208282,0.322149542,0,St. Lawrence River Basin,9,0.011306288,6001326,2,0902OTT0128A,SLC-32-20-83-8-5-P128-2-P128A,Franklin,Lake,Otter Pond, ,No,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902OTT0128A_C,No,CT,0902-0126,Otter Pond Centroid,44.3595009,-74.4292984,0, ,859,0902-0126,"SL(C)-32-20-83..P128,P128a","Dry Channel Pond, Otter Pond",total area of both lakes,Saint Lawrence River,L,80.1,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0902-0126.pdf
602,960866,Polliwog Pond,4.15031E+12,390,39009,0,0,0,8.962498,8.962498,97.6268,7.067698786,1.268092808,0,St. Lawrence River Basin,9,0.008699085,5004704,2,0903POL0243,SL-1-P241-13-P243,Hamilton,Lake,Polliwog Pond, ,No,St. Lawrence River Basin,Raquette River,0903POL0243_C,No,D,0903-0180,Polliwog Pond Centroid,43.9906998,-74.3780975,0, ,990,0903-0180,SL- 1-P109..P241-13-P243,Polliwog Pond,entire lake,Saint Lawrence River,L,7.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0903-0180.pdf
603,959835,Panther Pond,4.15031E+12,390,39009,0,3.018465,0,6.582877,9.601342,86.1259,13.19948223,0.727402926,0,St. Lawrence River Basin,9,0.010947135,5001335,2,0903PAN0188,SL-1-P188,Franklin,Lake,Panther Pond, ,No,St. Lawrence River Basin,Raquette River,0903PAN0188_C,No,C,0903-0161,Panther Pond Centroid,44.2298012,-74.3376999,0.228680561, ,661,0903-0161,SL- 1-P109..126-P188,Panther Pond,entire lake,Saint Lawrence River,L,12.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,No Known Impact,,1/23/2009 0:00,https://www.dec.ny.gov/data/WQP/PWL/0903-0161.pdf
604,965972,Spectacle Ponds,4.15031E+12,390,39009,1.470149,0.165395,0,65.584138,67.2197,758.845,88.29841431,0.761278473,0,St. Lawrence River Basin,9,0.046365821,6002865,2,0902LSP0254,SLC-32-87-P254,Franklin,Lake,Lower Spectacle Pond, ,No,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902LSP0254_C,No,C,0902-0155,Lower Spectacle Pond Centroid,44.4219017,-74.3014984,0.018523119, ,1762,0902-0155,"SL(C)-32-87-P253,P254",Spectacle Ponds,total area of both lakes,Saint Lawrence River,L,84.3,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,No Known Impact,,1/23/2009 0:00,https://www.dec.ny.gov/data/WQP/PWL/0902-0155.pdf
605,965438,Slush Pond,4.15031E+12,390,39004,0,2.729023,0,94.028395,96.7574,965.869,18.80235328,5.146026966,0,St. Lawrence River Basin,9,0.015230045,6001263,2,0902SLU0245,SLC-32-81-P238-2-P245,Franklin,Lake,Slush Pond, ,No,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902SLU0245_C,No,CT,0902-0008,Slush Pond Centroid,44.469799,-74.3158035,0.145141672, ,744,0902-0008,"SL(C)-32-81-P238,P244,P245","Follensby Jr Pond, Toad Pond, Slush Pond",total area of all three lakes,Saint Lawrence River,L,222.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Threatened,Known,UnAssessed,UnAssessed,Threatened,Verification of Sources Needed,9/5/2008 0:00,https://www.dec.ny.gov/data/WQP/PWL/0902-0008.pdf
606,946819,Clear Lake,4.15031E+12,390,39004,1.470149,0.496186,0,10.608218,12.5746,141.89,31.3344882,0.401300698,0,St. Lawrence River Basin,9,0.025538896,6001252,2,0902CLE0195,SLC-P195,Franklin,Lake,Clear Lake, ,No,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902CLE0195_C,No,C,0902-0147,Clear Lake Centroid,44.4936981,-74.3059998,0.062754559, ,736,0902-0147,"SL(C)-32-52-P179a..P195,P198,P201","Clear, Mountain, Beaver Valley Ponds",total area of all three lakes,Saint Lawrence River,L,94.3,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0902-0147.pdf
607,946340,Chain Lake,4.15031E+12,390,39004,1.470149,2.977116,0,137.840111,142.287,1532.04,98.35738155,1.446636468,0,St. Lawrence River Basin,9,0.072768154,6001255,2,0902CHA0193,SLC-32-52-P179A-5-11-P193,Franklin,Lake,Chain Lake, ,No,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902CHA0193_C,No,C,0902-0146,Chain Lake Centroid,44.4872017,-74.3019028,0.045211543, ,735,0902-0146,SL(C)-32-52-P179a..P193,Chain Lake,entire lake,Saint Lawrence River,L,92.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0902-0146.pdf
608,955007,Lamica Lake,4.15031E+12,390,39009,852.686149,2044.126709,3300.106426,10667.59698,47001.1,117711,16.32037276,2879.9,30136.59,St. Lawrence River Basin,9,0.020241536,7002358,2,0902LAM5101,SLC-29-P5101,Franklin,Lake,Lamica Lake, ,No,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902LAM5101_C,No,CT,0902-0087,Lamica Lake Centroid,44.8744011,-74.305397,2226.27,2009,1796,0902-0087,SL(C)-29-P26,Lamica Lake,entire lake,Saint Lawrence River,L,15.9,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0902-0087.pdf
609,957955,Mountain Pond,4.15031E+12,390,39004,0,0.413488,0,34.270992,34.6845,368.644,18.83075565,1.841905957,0,St. Lawrence River Basin,9,0.021113334,5001368,2,0903MOU0230,SL-1-162-27-P230,Franklin,Lake,Mountain Pond, ,No,St. Lawrence River Basin,Raquette River,0903MOU0230_C,No, ,0903-0176,Mountain Pond Centroid,44.142601,-74.1404037,0.021959183, ,571,0903-0176,SL- 1-P109..162-27-P230,"Mountain Pond, more",entire lake,Saint Lawrence River,L,17.5,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0903-0176.pdf
610,948755,Duck Pond,4.15031E+12,390,39009,1.470149,0.578884,0,20.082223,22.1313,271.262,63.76041801,0.347100234,0,St. Lawrence River Basin,9,0.042908925,7000886,2,0902DUC0040,SLC-29-21-7-3-P40,Franklin,Lake,Duck Pond, ,No,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902DUC0040_C,No,D,0902-0081,Duck Pond Centroid,44.5988998,-74.1436005,0.032137132, ,758,0902-0081,SL(C)-29-21- 7- 3-P40,Duck Pond,entire lake,Saint Lawrence River,L,58.8,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,9/5/2008 0:00,https://www.dec.ny.gov/data/WQP/PWL/0902-0081.pdf
611,956099,Lower Pond,4.15031E+12,390,39004,0,0,0,173.601147,173.601,1895.55,56.16782558,3.090757835,0,St. Lawrence River Basin,9,0.035212864,5001365,2,0903LPR0238,SL-1-162-P235-2-P238,"Essex, Franklin",Lake,Lower Preston Pond, ,No,St. Lawrence River Basin,Raquette River,0903LPR0238_C,No,CT,0903-0178,Lower Preston Pond Centroid,44.1375008,-74.0951996,-2.61716E-06, ,989,0903-0178,"SL- 1-P109..162-P238,P239","Lower, Upper Preston Ponds",total area of both lakes,Saint Lawrence River,L,132.4,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,9/5/2008 0:00,https://www.dec.ny.gov/data/WQP/PWL/0903-0178.pdf
612,946410,Charlie Pond,4.15031E+12,390,39009,4.410446,0,0,3.402636,7.813081,45.4821,10.83596096,0.72103259,0,St. Lawrence River Basin,9,0.010608711,7000868,2,0902CHA0055,SLC-29-P50-3A-P55,Franklin,Lake,Charlie Pond, ,No,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902CHA0055_C,No,D,0902-0089,Charlie Pond Centroid,44.6852989,-74.1095963,0.407019277, ,614,0902-0089,SL(C)-29-P50- 3- 1-P55,Charlie Pond,entire lake,Saint Lawrence River,L,10.4,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,No Known Impact,,1/23/2009 0:00,https://www.dec.ny.gov/data/WQP/PWL/0902-0089.pdf
613,946030,Catamount Pond,4.15031E+12,390,39009,0,0,0,22.862155,22.8622,244.186,15.52664555,1.472446507,0,St. Lawrence River Basin,9,0.015332414,7000889,2,0902CAT0065C,SLC-P65C,Franklin,Lake,Catamount Pond, ,No,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902CAT0065C_C,No,CT,0902-0092,Catamount Pond Centroid,44.5824013,-74.075798,2.89824E-06, ,549,0902-0092,SL(C)-29-P68,Catamont Pond,entire lake,Saint Lawrence River,L,13.3,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Impaired,Known,UnAssessed,UnAssessed,Impaired,Verification of Sources Needed,1/14/2009 0:00,https://www.dec.ny.gov/data/WQP/PWL/0902-0092.pdf
614,976696,Mud Lake,4.1503E+12,390,39004,5.880594,46.322505,563.530983,175.402542,791.137,3457.62,534.2776886,1.48075924,0,St. Lawrence River Basin,9,0.082477393,3000570,2,0906MUD0003,SL-25-7-P1-2-4-P3,St Lawrence,Lake,Mud Lake, ,No,St. Lawrence River Basin,Indian River,0906MUD0003_C,No,D,0906-0028,Mud Lake Centroid,44.5032997,-75.4616013,1.152461484, ,1476,0906-0028,SL-25-  7/P1- 2- 4-P3,Mud Lake,entire lake,Saint Lawrence River,L,530,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0906-0028.pdf
615,947784,Crooked Lake,4.1503E+12,390,39009,0,0,0,35.672078,35.6721,495.355,133.4045574,0.267397746,0,St. Lawrence River Basin,9,0.073625627,2001786,2,0905CRO0373,SL-25-132-P373,Herkimer,Lake,Crooked Lake, ,No,St. Lawrence River Basin,Oswegatchie River,0905CRO0373_C,No, ,0905-0006,Crooked Lake Centroid,43.9962006,-74.9381027,1.6491E-07, ,1616,0905-0006,SL-25-P309..132-P373,"Crooked Lake, more",entire lake,Saint Lawrence River,L,127.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Precluded,Known,UnAssessed,UnAssessed,Impaired,,9/5/2008 0:00,https://www.dec.ny.gov/data/WQP/PWL/0905-0006.pdf
616,976197,Cranberry Lake,4.1503E+12,390,39004,529.253472,24.779764,4.914918,8212.561857,8954.16,91259.9,6903.32422,1.297078875,182.646,St. Lawrence River Basin,9,1.387240899,2001600,2,0905CRA0309,SL-25-P309,St Lawrence,Lake,Cranberry Lake, ,Yes,St. Lawrence River Basin,Oswegatchie River,0905CRA0309_C,Yes,AT,0905-0007,Cranberry Lake Centroid,44.1609993,-74.8444977,0.107426237, ,1617,0905-0007,SL-25 (portion  8)/P309,Cranberry Lake,entire lake,Saint Lawrence River,L,6795.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Impaired,Known,UnAssessed,-,UnAssessed,UnAssessed,Impaired,Verification of Sources Needed,6/16/2010 0:00,https://www.dec.ny.gov/data/WQP/PWL/0905-0007.pdf
617,976457,Horseshoe Lake,4.15031E+12,390,39009,4.410446,12.404649,0,261.157861,277.973,3057.09,397.544867,0.699224111,0,St. Lawrence River Basin,9,0.080229191,5001409,2,0903HOR0143,SL-1-P109-11-6-P143,St Lawrence,Lake,Horseshoe Lake, ,No,St. Lawrence River Basin,Raquette River,0903HOR0143_C,No, ,0903-0142,Horseshoe Lake Centroid,44.1318016,-74.6210022,0.042297462,2014,1076,0903-0142,SL- 1-P109-11- 6-P143,Horseshoe Lake,entire lake,Saint Lawrence River,L,398.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,No Known Impact,,1/23/2009 0:00,https://www.dec.ny.gov/data/WQP/PWL/0903-0142.pdf
618,942448,Ampersand Lake,4.15031E+12,390,39004,0,5.458046,0,812.006798,817.465,8520.37,351.7983531,2.323674448,0,St. Lawrence River Basin,9,0.108919754,5001334,2,0903AMP0202,SL-1-133-P202,Franklin,Lake,Ampersand Lake, ,No,St. Lawrence River Basin,Raquette River,0903AMP0202_C,No,CT,0903-0167,Ampersand Lake Centroid,44.2094002,-74.1940994,0.015515144, ,849,0903-0167,SL- 1-P109..133-P191..P202,Ampersand Pond,entire lake,Saint Lawrence River,L,354.8,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0903-0167.pdf
619,977031,South Colton Reservoir,4.15031E+12,390,39009,1884.730419,2663.685776,183.080712,54159.73258,99986.6,601753,226.6031997,441.241,41095.35,St. Lawrence River Basin,9,0.112266977,5001254,2,0903SOU0017A,SL-1-P17A,St Lawrence,Lake,South Colton Reservoir, ,No,St. Lawrence River Basin,Raquette River,0903SOU0017A_C,No,B,0903-0068,South Colton Reservoir Centroid,44.5275993,-74.8658981,202.234, ,994,0903-0068,SL- 1 (portion  5b)/P7,Higley Falls Reservoir,entire reservoir,Saint Lawrence River,L,726.3,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0903-0068.pdf
620,970322,Lower Saint Regis Lake,4.15031E+12,390,39004,64.686535,167.232393,0.189035,906.591179,1138.7,11448.5,458.1576135,2.485387363,0,St. Lawrence River Basin,9,0.201496304,6002954,2,0902LSA0257A,SLC-32-P257A,Franklin,Lake,Lower Saint Regis Lake, ,Yes,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902LSA0257A_C,No,B,0902-0157,Lower Saint Regis Lake Centroid,44.4294014,-74.2558975,0.506613476,2002,1514,0902-0157,SL(C)-32-P257a,Lower Saint Regis Lake,entire lake,Saint Lawrence River,L,454.7,N/A,-,N/A,-,Threatened,Suspected,Threatened,Suspected,UnAssessed,-,UnAssessed,-,Unknown,Unknown,Threatened,Funding for Strategy Implementation Needed,5/18/2016 0:00,https://www.dec.ny.gov/data/WQP/PWL/0902-0157.pdf
621,970432,Osgood Pond,4.15031E+12,390,39009,52.925347,77.151011,45.652031,343.621742,519.35,4405.21,515.1205641,1.008210831,0,St. Lawrence River Basin,9,0.130405131,6001267,2,0902OSG0202,SLC-32-52-P179A-5-P202,Franklin,Lake,Osgood Pond, ,Yes,St. Lawrence River Basin,St. Regis-Salmon-Chateaugay Rivers,0902OSG0202_C,No,AA,0902-0148,Osgood Pond Centroid,44.4510002,-74.2369003,0.341140056,2010,737,0902-0148,SL(C)-32-52-P179a..P202,Osgood Pond,entire lake,Saint Lawrence River,L,511.5,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Impaired,Known,UnAssessed,-,UnAssessed,UnAssessed,Impaired,Verification of Sources Needed,12/8/2008 0:00,https://www.dec.ny.gov/data/WQP/PWL/0902-0148.pdf
622,976821,Pine Hill Pond,4.1503E+12,390,39009,0,0,0,29.267116,29.2671,348.87,48.20263785,0.607168348,0,St. Lawrence River Basin,9,0.043350626,2001542,2,0905PIN0092,SL-25-P92,St Lawrence,Lake,Pine Hill Pond, ,No,St. Lawrence River Basin,Oswegatchie River,0905PIN0092_C,No,D,0905-0135,Pine Hill Pond Centroid,44.2389984,-75.2893982,-3.31932E-07, ,1249,0905-0135,SL-25- 73-12-P92,Pine Hill Pond,entire lake,Saint Lawrence River,L,7.9,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0905-0135.pdf
623,943897,Big Hill Pond,4.1503E+12,390,39004,0,0,0,4.759242,4.759242,58.9466,11.72436132,0.405927613,0,St. Lawrence River Basin,9,0.009611179,2001664,2,0905HIL0144,SL-25-73-24-2-P144,Lewis,Lake,Big Hill Pond, ,No,St. Lawrence River Basin,Oswegatchie River,0905HIL0144_C,No,CT,0905-0150,Big Hill Pond Centroid,44.1296997,-75.2741013,0, ,612,0905-0150,SL-25- 73-24- 2-P144,Big Hill Pond,entire lake,Saint Lawrence River,L,10.4,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,No Known Impact,,1/23/2009 0:00,https://www.dec.ny.gov/data/WQP/PWL/0905-0150.pdf
624,976354,Graham Pond,4.1503E+12,390,39009,0,0,0,5.27075,5.27075,64.6051,11.86668714,0.444163559,0,St. Lawrence River Basin,9,0.011227588,2001560,2,0905GRA0111,SL-25-P111,St Lawrence,Lake,Graham Pond, ,No,St. Lawrence River Basin,Oswegatchie River,0905GRA0111_C,No,C(T),0905-0140,Graham Pond Centroid,44.2158012,-75.2522964,0, ,1251,0905-0140,SL-25- 73-19 - P111,Graham Pond,entire lake,Saint Lawrence River,L,11.4,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0905-0140.pdf
625,976495,Jenny Lake,4.1503E+12,390,39004,0,0,0,100.544553,100.545,1047.49,23.52083183,4.27470226,0,St. Lawrence River Basin,9,0.018745556,2001612,2,0905JEN0138,SL-25-73-19-P138,St Lawrence,Lake,Jenny Lake, ,No,St. Lawrence River Basin,Oswegatchie River,0905JEN0138_C,No,CT,0905-0149,Jenny Lake Centroid,44.1683006,-75.2208023,1.90044E-05, ,995,0905-0149,SL-25- 73-19-P138,Jenny Lake,entire lake,Saint Lawrence River,L,21.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,No Known Impact,,1/23/2009 0:00,https://www.dec.ny.gov/data/WQP/PWL/0905-0149.pdf
626,955688,Little Silver Dawn Lake,4.1503E+12,390,39009,0,0,0,23.685014,23.685,251.35,9.084237279,2.60726501,0,St. Lawrence River Basin,9,0.008008126,2001686,2,0905LSI0153,SL-25-73-26-6-3-1-P153,Lewis,Lake,Little Silver Dawn Lake, ,No,St. Lawrence River Basin,Oswegatchie River,0905LSI0153_C,No,CT,0905-0156,Little Silver Dawn Lake Centroid,44.0803986,-75.2016983,-1.54113E-06, ,609,0905-0156,"SL-25- 73-26- 6- 3-P153,P154","Silver Dawn Lake, L. Silver Dawn Lake",total area of both lakes,Saint Lawrence River,L,15,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0905-0156.pdf
627,967882,Trout Lake,4.1503E+12,390,39009,0,0,0,314.888373,314.888,3254.78,35.65306029,8.832015272,0,St. Lawrence River Basin,9,0.020755207,2001747,2,0905TRO0232,SL-25-73-40-P232,Lewis,Lake,Trout Lake, ,No,St. Lawrence River Basin,Oswegatchie River,0905TRO0232_C,No,CT,0905-0166,Trout Lake Centroid,44.0003014,-75.1914978,-1.04619E-05, ,798,0905-0166,"SL-25- 73..P231,P231a?","Rock Pond, Trout Lake",total area of both lakes,Saint Lawrence River,L,53.4,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0905-0166.pdf
628,965245,Silver Dawn Lake,4.1503E+12,390,39009,0,0,0,0.489268,0.489268,6.287236194,6.744586344,0.072542329,0,St. Lawrence River Basin,9,0.009549701,2001688,2,0905SIL0154,SL-25-73-26-6-3-1-P154,Lewis,Lake,Silver Dawn Lake, ,No,St. Lawrence River Basin,Oswegatchie River,0905SIL0154_C,No,D,0905-0156,Silver Dawn Lake Centroid,44.0741997,-75.1892014,0, ,609,0905-0156,"SL-25- 73-26- 6- 3-P153,P154","Silver Dawn Lake, L. Silver Dawn Lake",total area of both lakes,Saint Lawrence River,L,15,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0905-0156.pdf
629,977153,Twin Ponds,4.1503E+12,390,39004,0,0,0,224.507248,224.507,2353.34,22.38521545,10.0293,0,St. Lawrence River Basin,9,0.020756591,2006354,2,0905TWI0132,SL-25-73-19-5-1-P132,St Lawrence,Lake,Twin Ponds, ,No,St. Lawrence River Basin,Oswegatchie River,0905TWI0132_C,No,CT,0905-0146,Twin Ponds Centroid,44.1549988,-75.1932983,-1.10787E-05, ,827,0905-0146,"SL-25- 73-19- 5- 1-P131,P132","Twin Ponds (East, West)",total area of both lakes,Saint Lawrence River,L,5.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0905-0146.pdf
630,955599,Little Mouldy Pond,4.1503E+12,390,39009,0,0,0,4.181017,4.181017,51.1351,10.36004233,0.40357142,0,St. Lawrence River Basin,9,0.011984194,2001694,2,0905LMO0167,SL-25-73-26-13-P167,Lewis,Lake,Little Mouldy Pond, ,No,St. Lawrence River Basin,Oswegatchie River,0905LMO0167_C,No,D,0905-0160,Little Mouldy Pond Centroid,44.0633011,-75.1734009,0, ,1643,0905-0160,"SL-25- 73-26-11-P166,-13-P167","Mouldy Pond, Little Mouldy Pond",total area of both lakes,Saint Lawrence River,L,30.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0905-0160.pdf
