"sample_delivery_group","sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment.x","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg","X.data_provider","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment.y"
"R1808357","18LCB014","D6919-09","09/12/2018 00:58:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-021",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0296,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB014","WA","N","Field","","08/29/2018 08:52:00","18LCB014",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB014","SM5310C","09/11/2018 03:24:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-021",NA,42,"mL",NA,NA,NA,NA,42,"mL","TOC","TOTAL ORGANIC CARBON",6.5,NA,"TRG","Yes","Y","",NA,"",NA,0.05,NA,1,"mg/l","mg/l",NA,0.05,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB014","WA","N","Field","","08/29/2018 08:52:00","18LCB014",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB014","SM2120B","08/30/2018 10:15:00","T",NA,"initial","WA","LB",NA,NA,5,"","",NA,NA,"ALSRNY","quant","R1808357-021",NA,0,"mL",NA,NA,NA,NA,NA,"","COLOR","Color, True",155,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,5,"color unit","color unit",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB014","WA","N","Field","","08/29/2018 08:52:00","18LCB014",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB014","E353.2","09/13/2018 14:05:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-021",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.261,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB014","WA","N","Field","","08/29/2018 08:52:00","18LCB014",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB014","E351.2","09/19/2018 17:05:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/18/2018 20:48:00",NA,NA,"ALSRNY","quant","R1808357-021",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.25,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB014","WA","N","Field","","08/29/2018 08:52:00","18LCB014",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB014","SM2120B","09/01/2018 08:30:00","T",NA,"initial","WA","LB",NA,NA,5,"","",NA,NA,"ALSRNY","quant","R1808357-021",NA,0,"mL",NA,NA,NA,NA,NA,"","PHCOLOR","pH of Color Analysis",7.03,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,NA,"pH units","pH units",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB014","WA","N","Field","","08/29/2018 08:52:00","18LCB014",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB014","E365.1","09/14/2018 12:25:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-021",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0211,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB014","WA","N","Field","","08/29/2018 08:52:00","18LCB014",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB014","E365.1","09/14/2018 11:18:00","D",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-022",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, DISSOLVED (AS P)",0.0076,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB014","WA","N","Field","","08/29/2018 08:52:00","18LCB014",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB014MS","E365.1","09/14/2018 12:26:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-021MS",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0447,NA,"SC","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",0.0211,0.025,0.0447,94,NA,NA,NA,NA,"",75,125,20,NA,NA,NA,"R1808357","ALSRNY","18LCB014","WA","MS","Lab","18LCB014","08/29/2018 08:52:00","18LCB014",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB014MSD","E365.1","09/14/2018 12:27:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-021DMS",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0453,NA,"SC","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,0.0211,0.025,0.0453,97,"1",75,125,20,NA,NA,NA,"R1808357","ALSRNY","18LCB014","WA","SD","Lab","18LCB014","08/29/2018 08:52:00","18LCB014",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB019","SM 2320 B","09/10/2018 14:59:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-005",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",15.6,NA,"TRG","Yes","Y","",NA,"",NA,1,NA,2,"mg/l","mg/l",NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB019","WA","N","Field","","08/28/2018 11:50:00","18LCB019",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB019","D6919-09","09/11/2018 21:29:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-005",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0064,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB019","WA","N","Field","","08/28/2018 11:50:00","18LCB019",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB019","SM5310C","09/11/2018 00:57:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-005",NA,42,"mL",NA,NA,NA,NA,42,"mL","TOC","TOTAL ORGANIC CARBON",7.1,NA,"TRG","Yes","Y","",NA,"",NA,0.05,NA,1,"mg/l","mg/l",NA,0.05,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB019","WA","N","Field","","08/28/2018 11:50:00","18LCB019",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB019","SM10200H","09/13/2018 08:30:00","T",NA,"initial","WA","LB",NA,NA,2,"","",NA,NA,"ALSRNY","quant","R1808357-005",NA,500,"mL",NA,NA,NA,NA,NA,"","479-61-8","Chlorophyll A",3.16,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.16,"ug/l","ug/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB019","WA","N","Field","","08/28/2018 11:50:00","18LCB019",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB019","SM2120B","08/30/2018 10:15:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-005",NA,0,"mL",NA,NA,NA,NA,NA,"","COLOR","Color, True",38,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,1,"color unit","color unit",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB019","WA","N","Field","","08/28/2018 11:50:00","18LCB019",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB019","E353.2","09/13/2018 13:52:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-005",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",NA,NA,"TRG","Yes","N","U",NA,"U",NA,7e-04,7e-04,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB019","WA","N","Field","","08/28/2018 11:50:00","18LCB019",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB019","E351.2","09/19/2018 13:51:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/18/2018 18:41:00",NA,NA,"ALSRNY","quant","R1808357-005",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.51,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB019","WA","N","Field","","08/28/2018 11:50:00","18LCB019",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB019","SM2120B","09/01/2018 08:30:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-005",NA,0,"mL",NA,NA,NA,NA,NA,"","PHCOLOR","pH of Color Analysis",7.43,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,NA,"pH units","pH units",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB019","WA","N","Field","","08/28/2018 11:50:00","18LCB019",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB019","E365.1","09/14/2018 12:55:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-005",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0134,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB019","WA","N","Field","","08/28/2018 11:50:00","18LCB019",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB019","E365.1","09/14/2018 11:04:00","D",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-006",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, DISSOLVED (AS P)",0.0062,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB019","WA","N","Field","","08/28/2018 11:50:00","18LCB019",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB019DUP","SM 2320 B","09/10/2018 15:03:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-005DUP",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",15.2,NA,"TRG","Yes","Y","",NA,"",NA,1,NA,2,"mg/l","mg/l",NA,1,NA,NA,NA,NA,"",15.6,NA,NA,NA,15.6,NA,NA,NA,"3",NA,NA,20,NA,NA,NA,"R1808357","ALSRNY","18LCB019","WA","LR","Lab","18LCB019","08/28/2018 11:50:00","18LCB019",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB020","D6919-09","09/11/2018 21:45:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-007",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,8e-04,8e-04,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB020","WA","N","Field","","08/28/2018 11:55:00","18LCB020",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB020","SM5310C","09/11/2018 01:18:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-007",NA,42,"mL",NA,NA,NA,NA,42,"mL","TOC","TOTAL ORGANIC CARBON",5.5,NA,"TRG","Yes","Y","",NA,"",NA,0.05,NA,1,"mg/l","mg/l",NA,0.05,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB020","WA","N","Field","","08/28/2018 11:55:00","18LCB020",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB020","SM2120B","08/30/2018 10:15:00","T",NA,"initial","WA","LB",NA,NA,5,"","",NA,NA,"ALSRNY","quant","R1808357-007",NA,0,"mL",NA,NA,NA,NA,NA,"","COLOR","Color, True",60,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,5,"color unit","color unit",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB020","WA","N","Field","","08/28/2018 11:55:00","18LCB020",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB020","E353.2","09/13/2018 13:53:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-007",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.0037,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB020","WA","N","Field","","08/28/2018 11:55:00","18LCB020",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB020","E351.2","09/19/2018 13:42:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/18/2018 18:41:00",NA,NA,"ALSRNY","quant","R1808357-007",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.34,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB020","WA","N","Field","","08/28/2018 11:55:00","18LCB020",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB020","SM2120B","09/01/2018 08:30:00","T",NA,"initial","WA","LB",NA,NA,5,"","",NA,NA,"ALSRNY","quant","R1808357-007",NA,0,"mL",NA,NA,NA,NA,NA,"","PHCOLOR","pH of Color Analysis",7.07,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,NA,"pH units","pH units",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB020","WA","N","Field","","08/28/2018 11:55:00","18LCB020",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB097","E353.2","09/13/2018 13:56:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-011",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",NA,NA,"TRG","Yes","N","U",NA,"U",NA,7e-04,7e-04,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB097","WA","N","Field","","08/28/2018 11:55:00","18LCB097",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB097","E351.2","09/19/2018 15:58:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/18/2018 20:48:00",NA,NA,"ALSRNY","quant","R1808357-011",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.08,0.08,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB097","WA","N","Field","","08/28/2018 11:55:00","18LCB097",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB020MS","E351.2","09/19/2018 13:43:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/18/2018 18:41:00",NA,NA,"ALSRNY","quant","R1808357-007MS",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",2.69,NA,"SC","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",0.34,2.5,2.69,94,NA,NA,NA,NA,"",75,125,20,NA,NA,NA,"R1808357","ALSRNY","18LCB020","WA","MS","Lab","18LCB020","08/28/2018 11:55:00","18LCB020",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB020MSD","E351.2","09/19/2018 13:43:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/18/2018 18:41:00",NA,NA,"ALSRNY","quant","R1808357-007DMS",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",2.73,NA,"SC","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,0.34,2.5,2.73,95,"1",75,125,20,NA,NA,NA,"R1808357","ALSRNY","18LCB020","WA","SD","Lab","18LCB020","08/28/2018 11:55:00","18LCB020",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB023","SM 2320 B","09/10/2018 16:25:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-009",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",78.4,NA,"TRG","Yes","Y","",NA,"",NA,1,NA,2,"mg/l","mg/l",NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB023","WA","N","Field","","08/29/2018 09:10:00","18LCB023",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB023","D6919-09","09/11/2018 22:01:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-009",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0091,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB023","WA","N","Field","","08/29/2018 09:10:00","18LCB023",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB023","SM5310C","09/11/2018 02:21:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-009",NA,42,"mL",NA,NA,NA,NA,42,"mL","TOC","TOTAL ORGANIC CARBON",8.3,NA,"TRG","Yes","Y","",NA,"",NA,0.05,NA,1,"mg/l","mg/l",NA,0.05,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB023","WA","N","Field","","08/29/2018 09:10:00","18LCB023",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB023","SM10200H","09/13/2018 08:30:00","T",NA,"initial","WA","LB",NA,NA,20,"","",NA,NA,"ALSRNY","quant","R1808357-009",NA,250,"mL",NA,NA,NA,NA,NA,"","479-61-8","Chlorophyll A",76.9,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,3.2,"ug/l","ug/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB023","WA","N","Field","","08/29/2018 09:10:00","18LCB023",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB023","SM2120B","08/30/2018 10:15:00","T",NA,"initial","WA","LB",NA,NA,5,"","",NA,NA,"ALSRNY","quant","R1808357-009",NA,0,"mL",NA,NA,NA,NA,NA,"","COLOR","Color, True",110,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,5,"color unit","color unit",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB023","WA","N","Field","","08/29/2018 09:10:00","18LCB023",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
